1546375800.0;0.0601;0.06;0.0599;0.0605;3044.896
1546375740.0;0.0603;0.0601;0.0601;0.0603;3108.84
1546375680.0;0.0599;0.0604;0.0599;0.0604;3406.155
1546375620.0;0.06;0.0598;0.0598;0.06;4965.508
1546375560.0;0.0599;0.0599;0.0599;0.0599;17114.473
1546375500.0;0.0599;0.0598;0.0597;0.06;17695.345
1546375440.0;0.0601;0.06;0.0597;0.0601;3994.362
1546375380.0;0.0597;0.06;0.0597;0.06;2004.493
1546375320.0;0.0598;0.0598;0.0598;0.0599;3345.319
1546375260.0;0.0599;0.0597;0.0597;0.0599;4534.496
1546375200.0;0.0599;0.0599;0.0599;0.0601;7103.408
1546375140.0;0.06;0.06;0.06;0.06;1167.035
1546375080.0;0.0599;0.06;0.0599;0.06;472.197
1546375020.0;0.0599;0.0599;0.0598;0.0599;3055.508
1546374960.0;0.06;0.0599;0.0599;0.0601;2864.55
1546374900.0;0.0599;0.0599;0.0599;0.0601;4111.772
1546374840.0;0.0599;0.06;0.0599;0.06;6492.208
1546374780.0;0.0599;0.06;0.0599;0.0601;6648.246
1546374720.0;0.0599;0.0599;0.0598;0.0599;3905.084
1546374660.0;0.0601;0.0599;0.0599;0.0601;3452.279
1546374600.0;0.0601;0.0599;0.0599;0.0601;7064.897
1546374540.0;0.0599;0.0603;0.0598;0.0603;6140.773
1546374480.0;0.0599;0.0599;0.0598;0.0599;20818.341
1546374420.0;0.0596;0.0598;0.0596;0.0598;2292.205
1546374360.0;0.0598;0.0597;0.0597;0.0599;1720.048
1546374300.0;0.0599;0.0598;0.0598;0.0599;2998.868
1546374240.0;0.0599;0.0598;0.0598;0.0599;3379.094
1546374180.0;0.06;0.0599;0.0599;0.0601;6299.391
1546374120.0;0.06;0.0601;0.06;0.0602;2617.803
1546374060.0;0.06;0.0603;0.06;0.0604;1687.257
1546374000.0;0.0603;0.06;0.0599;0.0603;4301.278
1546373940.0;0.0602;0.0601;0.06;0.0602;4409.386
